"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Description"
"AE1","1","Antenna_Shield","","","","Antenna with extra pin for shielding"
"BOOT1,EN1,SCAN_TGL1,STATUS/SETUP1","4","SW_Push","","","","Push button switch, generic, two pins"
"BT1","1","Battery_Cell","","","","Single-cell battery"
"BZ1","1","Buzzer","","","","Buzzer, polarized"
"C1,C6","2","22u","","","","Unpolarized capacitor"
"C2,C3,C7,C9","4","100n","","","","Unpolarized capacitor"
"C4,C5,C8,C12,C14","5","10u","","","","Unpolarized capacitor"
"C10","1","56n","","","","Unpolarized capacitor"
"C11","1","1u","","","","Unpolarized capacitor"
"C13","1","150n","","","","Unpolarized capacitor"
"C15,C17","2","1000uF","","","","Polarized capacitor"
"C16","1","100uF","","","","Polarized capacitor"
"D1,D2,D3,D4,D8,D9,D11,D13,D14","9","LED","","","","Light emitting diode"
"D5,D6,D10","3","D","","","","Diode"
"D7,D12","2","D_Schottky","","","","Schottky diode"
"D15,D16","2","SS24A","","","","Schottky diode"
"F1,F2","2","SF-1206SP100-2","","","","Fuse"
"IC1","1","SX1308","","","","DC-DC Converters Step-Up Adjustable 1 2V 24V 28V 2A SOT-23-6 RoHS"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","USB 2.0-only 14P Type-C Receptacle connector"
"J2","1","Conn_01x03_Socket","","","","Generic connector, single row, 01x03, script generated"
"L1","1","4R7","","","","Inductor"
"Q1","1","S9013","","","","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92"
"Q2","1","FS8205A","","","","dual n-channel enhancement mode power MOFSET"
"Q3","1","2N7002K","","","","0.38A Id, 60V Vds, N-Channel MOSFET, SOT-23"
"Q4,Q5","2","SS8050","","","","General Purpose NPN Transistor, 1.5A Ic, 25V Vce, SOT-23"
"R1,R2,R10,R11,R12,R13,R16,R17,R23,R24,R28,R29,R31","13","1k","","","","Resistor"
"R3","1","820","","","","Resistor"
"R4","1","240","","","","Resistor"
"R5","1","100 (470)","","","","Resistor"
"R6","1","1k0","","","","Resistor"
"R7,R8,R15,R18,R20,R21,R22,R25,R26,R27,R30,R34","12","10k","","","","Resistor"
"R9","1","20k","","","","Resistor"
"R14","1","200","","","","Resistor"
"R19,R32,R33","3","5k1","","","","Resistor"
"R35,R38","2","100k","","","","Resistor"
"R36","1","120k","","","","Resistor"
"R37","1","47k","","","","Resistor"
"RV1","1","8k4","","","","Voltage dependent resistor"
"S1","1","SLW-1678105-6A-N-D","","","","SLW-1678105-6A-N-D - 16 x 7.8 x 10.5 mm, 6 mm Raised Slide Actuator, Through Hole, Slide Switch"
"U1","1","R300","","","",""
"U2,U6","2","AMS1117-3.3","","","","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223"
"U4","1","TP4056-42-ESOP8","","","","1A Standalone Linear Li-ion/LiPo single-cell battery charger, 4.2V ±1% charge voltage, VCC = 4.0..8.0V, SOIC-8 (SOP-8)"
"U5","1","DW01A","","","","Overcharge, overcurrent and overdischarge protection IC for single cell lithium-ion/polymer battery"
"U7","1","ESP32-WROOM-32","","","","RF Module, ESP32-D0WDQ6 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD"
"U10","1","CP2102-GMR","","","",""
