Položka,Specifikace,Cena za položku,Počet,Celková cena,Použitý počet,Cena k proplacení,Faktura,,Odkaz
860-960MHz UHF keyfobs RFID passive cards tag ISO18000-6C H3/U8/U9 chip long reading range key tags,,752.00 Kč,1,752.00 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/OrderSummary202602013063443729804533.png,./OrderSummary202602013063443729804533.png,https://www.aliexpress.com/item/1005004677696634.html
R300 RFID UHF Reader Module for ESP32 Raspberry Pi Arduino | UHF Access Control TTL UART | Free SDK Included,board-4dbi antenna,"2,061.68 Kč",1,"2,061.68 Kč",1,"2,061.68 Kč",/home/kuba/Documents/VUT/bachelor/recepits/OrderSummary202602013063443729784533.png,./OrderSummary202602013063443729784533.png,https://www.aliexpress.com/item/1005009293695195.html
USB Programmer UHF RFID Reader and Writer 860-960Mhz with work English SDK Demo Software Source Code,RU5600,723.35 Kč,1,723.35 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/OrderSummary202602013063443729754533.png,./OrderSummary202602013063443729754533.png,https://www.aliexpress.com/item/1005008976392106.html
USB Programmer UHF RFID Reader and Writer 860-960Mhz with work English SDK Demo Software Source Code,20pcs uhf PVC card,294.80 Kč,1,294.80 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/OrderSummary202602013063443729754533.png,./OrderSummary202602013063443729754533.png,https://www.aliexpress.com/item/1005008976392106.html
Project Learning Kit for ESP32 ESP-32S WIFI I OT Development Board Learning Basic Starter Kit with Storage Box Pir Motion Sensor,,476.12 Kč,1,476.12 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/OrderSummary202602013063443729844533.png,./OrderSummary202602013063443729844533.png,https://www.aliexpress.com/item/1005009825316874.html
1-10PCS/ESP32 Development Board Type-C CP2102 WIFI Bluetooth Module Dual Core Wireless Module ESP-WROOM-32 Expansion Board 38Pin,TYPE-C CP2102 1PC,98.41 Kč,2,196.82 Kč,2,196.82 Kč,/home/kuba/Documents/VUT/bachelor/recepits/OrderSummary202602013063443729824533.png,./OrderSummary202602013063443729824533.png,https://www.aliexpress.com/item/1005007546914400.html
R300 RFID UHF Reader Module for ESP32 Raspberry Pi Arduino | UHF Access Control TTL UART | Free SDK Included,board-4dbi antenna,"1,911.57 Kč",1,"1,911.57 Kč",1,"1,911.57 Kč",/home/kuba/Documents/VUT/bachelor/recepits/OrderSummary202602013065418123174533.png,./OrderSummary202602013065418123174533.png,https://www.aliexpress.com/item/1005009293695195.html
LaskaKit Breadboard Prototypovy Kit,,233.20 Kč,1,233.20 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202539667.pdf,./invoice_202539667.pdf,https://www.laskakit.cz/laskkit-breadboard-prototypovy-kit/
"Dutinková lišta 2,54 mm jednořadá přímá ",LA217005H ,3.00 Kč,4,12.00 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202543276.pdf,./invoice_202543276.pdf,https://www.laskakit.cz/dupont-40pin-2-54-mm-pinovy-pas--samice/?variantId=3923
"Dutinková lišta 2,54 mm jednořadá přímá ",LA217005I,3.00 Kč,4,12.00 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202543276.pdf,./invoice_202543276.pdf,https://www.laskakit.cz/dupont-40pin-2-54-mm-pinovy-pas--samice/?variantId=3926
LaskaKit sada tranzistorů TO-92 300ks,,198.00 Kč,1,198.00 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202543276.pdf,./invoice_202543276.pdf,https://www.laskakit.cz/laskkit-sada-tranzistoru-to-92-300ks/
"LaskaKit Sada 2440 rezistorů, 122 hodnoty x 20ks 1/4W 1%",,498.00 Kč,1,498.00 Kč,0,0.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202543276.pdf,./invoice_202543276.pdf,https://www.laskakit.cz/laskkit-sada-2440-rezistoru--122-hodnoty-x-20ks-1-4w-1/
Step-up boost měnič s SX1308 2A,,23.00 Kč,2,46.00 Kč,2,46.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/step-up-boost-menic-s-sx1308-2a/
Dutinková lišta 2.54 mm nízká 3.5mm jednořadá přímá,Počet pinů: 20P ,7.80 Kč,6,46.80 Kč,6,46.80 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/dutinkova-lista-2-54-mm-nizka-3-5mm-jednorada-prima/?variantId=18041
Dutinková lišta 2.54 mm nízká 3.5mm jednořadá přímá,Počet pinů: 4P,3.80 Kč,4,15.20 Kč,2,7.60 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/dutinkova-lista-2-54-mm-nizka-3-5mm-jednorada-prima/?variantId=17993
Nabíječka Li-ion článku TP4056 s ochranou USB-C,,18.00 Kč,2,36.00 Kč,2,36.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/nabijecka-li-ion-clanku-tp4056-s-ochranou-usb-c/
GeB Li-Ion Baterie 18650 3000mAh 3.7V,,138.00 Kč,3,414.00 Kč,2,276.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/geb-li-ion-baterie-18650-3000mah-3-7v/
Bateriový box 1x18650 do DPS,,18.00 Kč,2,36.00 Kč,2,36.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/bateriovy-box-1x18650-do-dps/
Tlačítko SMD 6x6x12mm,,2.00 Kč,4,8.00 Kč,4,8.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/tlacitko-smd-6x6x12mm/
Micro PIR detektor pohybu AM312,,38.00 Kč,3,114.00 Kč,2,76.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/arduino-micro-pir-detektor-pohybu-am312/
PoE pasivní injector / splitter RJ45 48V DC konektor,,28.00 Kč,3,84.00 Kč,2,56.00 Kč,/home/kuba/Documents/VUT/bachelor/recepits/invoice_202603894.pdf,./invoice_202603894.pdf,https://www.laskakit.cz/poe-pasivni-injector-splitter-rj45-48v-dc-konektor/?variantId=19181
,,,,"8,169.54 Kč",,"4,758.47 Kč",,,
